ID,Category,years_experience,cert_count,quantified_achievements,structural_completeness_score,word_count,quality_cluster_kmeans,quality_cluster_dbscan
24230851,INFORMATION-TECHNOLOGY,0,0,1,6,655,2,3
40018190,INFORMATION-TECHNOLOGY,0,1,0,5,394,0,0
16186411,INFORMATION-TECHNOLOGY,0,0,0,5,1313,2,0
29975124,INFORMATION-TECHNOLOGY,20,0,2,5,826,1,-1
26746496,INFORMATION-TECHNOLOGY,0,0,0,5,1222,2,0
89413122,INFORMATION-TECHNOLOGY,0,1,0,5,614,0,0
12334140,INFORMATION-TECHNOLOGY,0,4,0,4,2044,2,-1
10641230,INFORMATION-TECHNOLOGY,0,5,1,4,738,2,1
10265057,INFORMATION-TECHNOLOGY,0,0,0,5,716,0,0
30223363,INFORMATION-TECHNOLOGY,0,0,0,5,1431,2,0
15791766,INFORMATION-TECHNOLOGY,9,7,2,6,613,2,-1
29075857,INFORMATION-TECHNOLOGY,0,1,2,5,1253,2,0
12763627,INFORMATION-TECHNOLOGY,0,1,0,6,931,2,3
39718499,INFORMATION-TECHNOLOGY,0,0,0,4,321,0,1
27058381,INFORMATION-TECHNOLOGY,0,2,0,5,1715,2,0
25857360,INFORMATION-TECHNOLOGY,14,0,0,4,826,1,1
26768723,INFORMATION-TECHNOLOGY,0,0,0,6,695,2,3
31243710,INFORMATION-TECHNOLOGY,0,4,0,5,1041,2,0
15297298,INFORMATION-TECHNOLOGY,0,6,1,6,729,2,3
27295996,INFORMATION-TECHNOLOGY,0,1,0,4,928,0,1
39413067,INFORMATION-TECHNOLOGY,0,0,0,3,688,0,2
48037995,INFORMATION-TECHNOLOGY,0,1,0,6,743,2,3
15802627,INFORMATION-TECHNOLOGY,0,6,0,4,1085,2,1
51363762,INFORMATION-TECHNOLOGY,0,8,0,5,1053,2,0
18067556,INFORMATION-TECHNOLOGY,0,1,0,5,2670,2,-1
27485716,INFORMATION-TECHNOLOGY,0,2,0,4,741,0,1
26480367,INFORMATION-TECHNOLOGY,0,1,1,6,671,2,3
81761658,INFORMATION-TECHNOLOGY,0,0,1,4,884,0,1
79541391,INFORMATION-TECHNOLOGY,0,4,1,4,1769,2,-1
23666211,INFORMATION-TECHNOLOGY,0,1,1,4,745,0,1
12467531,TEACHER,0,0,2,6,905,2,3
19918523,TEACHER,0,1,0,4,351,0,1
62184086,TEACHER,0,0,0,3,361,0,2
28063132,TEACHER,0,0,0,4,362,0,1
29797594,TEACHER,0,1,0,4,789,0,1
22408666,TEACHER,0,8,0,5,754,2,0
13087952,TEACHER,0,7,0,5,619,2,0
15850434,TEACHER,0,4,1,3,746,0,2
28772892,TEACHER,0,1,0,5,909,0,0
33704389,TEACHER,0,3,0,4,788,0,1
16210888,TEACHER,0,2,0,4,728,0,1
38750659,TEACHER,0,0,1,5,628,0,0
90363254,TEACHER,0,0,1,5,903,0,0
66906212,TEACHER,0,1,0,6,1027,2,3
34745915,TEACHER,0,1,1,4,955,0,1
34689720,TEACHER,0,0,2,3,754,0,2
48547319,TEACHER,0,3,0,4,705,0,1
19464810,TEACHER,10,0,0,4,887,1,1
28086303,TEACHER,0,4,0,7,563,2,4
13855004,TEACHER,0,3,0,5,801,2,0
35421497,TEACHER,0,1,1,6,483,2,3
69005326,TEACHER,0,5,0,4,698,0,1
18001081,TEACHER,0,1,0,6,873,2,3
14958913,TEACHER,0,1,0,3,714,0,2
13296856,TEACHER,0,5,1,5,594,2,0
63391085,TEACHER,0,1,1,4,756,0,1
23939133,TEACHER,0,2,0,4,825,0,1
96547039,TEACHER,0,2,0,5,662,0,0
22807104,TEACHER,0,1,1,6,1000,2,3
23628651,TEACHER,5,0,1,5,734,0,0
29486525,TEACHER,5,1,3,6,682,2,-1
22510753,TEACHER,0,1,0,4,615,0,1
21773106,TEACHER,0,4,1,7,910,2,4
34465087,TEACHER,0,6,8,4,812,2,-1
24791126,TEACHER,0,0,0,4,758,0,1
15899269,TEACHER,0,0,0,4,372,0,1
37402097,TEACHER,0,1,0,4,342,0,1
36206485,TEACHER,0,1,0,5,834,0,0
36569713,TEACHER,0,0,0,4,309,0,1
28013287,TEACHER,0,5,0,5,850,2,0
29267293,TEACHER,0,2,0,5,400,0,0
45286020,TEACHER,0,3,0,6,938,2,3
13330982,TEACHER,0,1,1,5,667,0,0
22551979,TEACHER,0,0,0,6,724,2,3
29639533,TEACHER,10,1,2,5,805,1,0
49285644,TEACHER,0,0,0,5,816,0,0
16270906,TEACHER,0,0,1,4,1509,0,1
27531694,TEACHER,0,5,0,6,1118,2,3
74816727,TEACHER,0,0,0,5,735,0,0
23398843,TEACHER,10,2,0,5,645,1,0
31552617,TEACHER,0,2,0,4,370,0,1
19556300,TEACHER,9,1,0,4,810,0,1
66683238,TEACHER,0,2,1,5,649,0,0
17311685,TEACHER,0,1,0,5,260,0,0
17481570,TEACHER,0,6,0,4,345,0,1
22884757,TEACHER,0,2,0,5,330,0,0
58708773,TEACHER,0,0,0,3,273,0,2
10527994,TEACHER,0,0,1,4,209,0,1
69532425,TEACHER,0,2,0,5,279,0,0
20399718,TEACHER,0,0,0,4,736,0,1
19302310,TEACHER,0,0,0,5,679,0,0
51209395,TEACHER,0,0,0,5,183,0,0
22632070,TEACHER,0,0,0,5,430,0,0
22056333,TEACHER,0,6,0,4,283,0,1
11336022,TEACHER,0,0,0,4,423,0,1
11616482,TEACHER,0,1,0,3,475,0,2
34033933,TEACHER,0,0,0,5,651,0,0
21531811,TEACHER,0,0,0,4,309,0,1
20626794,TEACHER,0,1,1,5,257,0,0
58665241,TEACHER,0,3,1,5,765,2,0
37660306,TEACHER,0,7,0,3,2694,2,-1
13583538,TEACHER,0,1,0,4,850,0,1
20230207,TEACHER,0,1,0,7,663,2,4
28642819,TEACHER,0,2,1,6,755,2,3
16820422,TEACHER,0,0,0,3,813,0,2
29930479,TEACHER,0,5,0,5,331,2,0
25588694,TEACHER,0,6,3,6,428,2,-1
86597425,TEACHER,0,2,0,7,1151,2,4
10909720,TEACHER,0,1,0,4,765,0,1
28933005,TEACHER,0,2,0,6,1085,2,3
53129155,TEACHER,0,3,0,6,686,2,3
11943065,TEACHER,0,7,0,7,635,2,-1
45987048,TEACHER,0,1,0,5,795,0,0
99244405,TEACHER,0,0,0,4,681,0,1
32067700,TEACHER,0,0,5,4,492,0,1
27126818,TEACHER,0,2,1,5,1832,2,0
19786924,TEACHER,25,6,0,6,830,1,-1
70892619,TEACHER,0,4,0,5,745,2,0
25729119,TEACHER,0,1,0,3,640,0,2
58105060,TEACHER,0,0,0,4,733,0,1
12587973,TEACHER,0,1,1,5,697,0,0
21611212,TEACHER,0,2,0,5,465,0,0
21550454,TEACHER,0,2,0,4,684,0,1
86322251,TEACHER,0,1,3,6,843,2,3
22968380,TEACHER,0,0,0,4,894,0,1
10504237,TEACHER,0,3,0,4,798,0,1
24240349,TEACHER,16,0,1,4,713,1,1
20478831,TEACHER,0,0,0,4,692,0,1
79663360,TEACHER,0,1,0,5,689,0,0
76196367,TEACHER,20,0,0,5,780,1,0
27524018,TEACHER,0,1,0,5,1247,2,0
27798860,TEACHER,0,1,0,5,1422,2,0
14445309,ADVOCATE,0,0,0,5,635,0,0
35474904,ADVOCATE,0,0,0,4,1027,0,1
37348041,ADVOCATE,0,6,0,5,635,2,0
89508407,ADVOCATE,0,0,4,4,763,0,1
25873425,ADVOCATE,0,2,4,4,976,2,1
31040875,ADVOCATE,0,1,0,4,407,0,1
11188218,ADVOCATE,0,0,0,5,812,0,0
73448369,ADVOCATE,0,4,0,3,676,0,2
42164460,ADVOCATE,0,4,1,6,758,2,3
18725071,ADVOCATE,0,2,0,4,726,0,1
28974459,ADVOCATE,0,8,0,4,711,2,1
38291889,ADVOCATE,0,0,0,5,756,0,0
12171093,ADVOCATE,0,1,0,5,436,0,0
13967854,ADVOCATE,0,2,0,5,663,0,0
90468982,ADVOCATE,0,0,1,4,701,0,1
49475708,ADVOCATE,0,0,0,4,884,0,1
54067174,ADVOCATE,0,1,1,4,523,0,1
49486820,ADVOCATE,0,0,0,4,1009,0,1
38860712,ADVOCATE,0,4,0,4,625,0,1
16332348,ADVOCATE,0,0,1,4,1590,0,1
34970271,ADVOCATE,0,2,0,3,696,0,2
14064815,ADVOCATE,0,0,0,4,667,0,1
12544735,ADVOCATE,7,2,1,4,468,0,1
20138606,ADVOCATE,0,0,0,4,958,0,1
36694627,ADVOCATE,0,1,0,4,638,0,1
29926588,ADVOCATE,10,0,0,5,645,1,0
28206098,ADVOCATE,15,3,0,5,689,1,0
20765795,ADVOCATE,0,3,2,4,681,0,1
20272792,ADVOCATE,0,0,0,4,304,0,1
20324037,ADVOCATE,8,0,1,6,772,2,5
53169257,ADVOCATE,0,0,0,4,644,0,1
24588864,ADVOCATE,0,0,1,5,1733,2,0
11963737,ADVOCATE,0,0,1,6,640,2,3
13593241,ADVOCATE,0,0,0,3,929,0,2
22391901,ADVOCATE,5,0,0,4,646,0,1
10344379,ADVOCATE,0,1,0,5,663,0,0
74126637,ADVOCATE,0,1,1,5,692,0,0
26071861,ADVOCATE,0,0,1,3,801,0,2
24410405,ADVOCATE,0,0,0,5,731,0,0
14146106,ADVOCATE,0,0,0,4,700,0,1
74191424,ADVOCATE,0,0,0,4,743,0,1
10186968,ADVOCATE,0,0,0,3,518,0,2
20400279,ADVOCATE,0,0,2,4,991,0,1
23427369,ADVOCATE,18,5,0,5,666,1,-1
95714702,ADVOCATE,0,0,0,5,940,0,0
18997135,ADVOCATE,0,0,0,5,611,0,0
11773767,ADVOCATE,0,7,0,5,655,2,0
78538268,ADVOCATE,0,1,1,5,644,0,0
13909762,ADVOCATE,0,7,0,5,1006,2,0
20604208,ADVOCATE,0,1,0,4,951,0,1
72652441,ADVOCATE,0,0,0,6,972,2,3
24754689,ADVOCATE,0,0,0,4,867,0,1
75057933,ADVOCATE,0,0,0,5,717,0,0
19063156,ADVOCATE,20,3,0,4,2309,1,-1
91051945,ADVOCATE,0,8,0,4,1844,2,-1
14176254,ADVOCATE,0,0,0,4,757,0,1
22259475,ADVOCATE,0,0,0,4,601,0,1
37560528,ADVOCATE,0,0,0,4,1278,0,1
23577836,ADVOCATE,0,0,1,4,1118,0,1
36392131,ADVOCATE,20,0,0,4,993,1,1
32965335,ADVOCATE,3,1,2,5,1123,2,0
21614256,ADVOCATE,0,0,0,3,781,0,2
97405769,ADVOCATE,0,0,2,4,946,0,1
95970987,ADVOCATE,0,0,0,5,1923,2,0
17021141,ADVOCATE,0,1,0,3,852,0,2
15337481,ADVOCATE,0,0,0,5,794,0,0
75950464,ADVOCATE,6,0,0,7,1629,2,-1
19518606,ADVOCATE,0,2,0,4,704,0,1
15727656,ADVOCATE,0,1,0,4,647,0,1
31242382,ADVOCATE,0,0,0,3,836,0,2
29173771,ADVOCATE,0,3,1,3,707,0,2
19108760,ADVOCATE,0,1,2,4,1088,0,1
14708590,ADVOCATE,0,2,0,5,731,0,0
77439230,ADVOCATE,0,1,1,4,1073,0,1
40088790,ADVOCATE,0,2,0,5,892,2,0
22042181,ADVOCATE,0,1,0,5,857,0,0
29415426,ADVOCATE,0,1,0,4,343,0,1
37333719,ADVOCATE,0,0,0,3,266,0,2
15313140,ADVOCATE,0,0,0,3,720,0,2
13072354,ADVOCATE,0,1,0,4,829,0,1
